,kw_relevance
659-Justice,0
651-Justice,1
637-Justice,2
630-Justice,3
635-Justice,4
683-Justice,5
685-Justice,6
709-Justice,7
631-Justice,8
634-Justice,9
643-Justice,10
715-Justice,11
744-Justice,12
628-Justice,13
629-Justice,14
633-Justice,15
641-Justice,16
642-Justice,17
645-Justice,18
648-Justice,19
654-Justice,20
658-Justice,21
669-Justice,22
684-Justice,23
689-Justice,24
692-Justice,25
706-Justice,26
712-Justice,27
713-Justice,28
719-Justice,29
627-Justice,30
636-Justice,31
639-Justice,32
640-Justice,33
644-Justice,34
646-Justice,35
649-Justice,36
650-Justice,37
652-Justice,38
653-Justice,39
655-Justice,40
657-Justice,41
660-Justice,42
661-Justice,43
662-Justice,44
663-Justice,45
664-Justice,46
665-Justice,47
666-Justice,48
667-Justice,49
668-Justice,50
670-Justice,51
671-Justice,52
672-Justice,53
673-Justice,54
674-Justice,55
675-Justice,56
677-Justice,57
678-Justice,58
679-Justice,59
680-Justice,60
681-Justice,61
682-Justice,62
686-Justice,63
687-Justice,64
688-Justice,65
690-Justice,66
691-Justice,67
693-Justice,68
694-Justice,69
696-Justice,70
697-Justice,71
698-Justice,72
699-Justice,73
700-Justice,74
701-Justice,75
703-Justice,76
704-Justice,77
705-Justice,78
707-Justice,79
708-Justice,80
710-Justice,81
711-Justice,82
714-Justice,83
716-Justice,84
717-Justice,85
718-Justice,86
720-Justice,87
721-Justice,88
722-Justice,89
724-Justice,90
725-Justice,91
726-Justice,92
727-Justice,93
728-Justice,94
729-Justice,95
730-Justice,96
731-Justice,97
732-Justice,98
733-Justice,99
735-Justice,100
736-Justice,101
737-Justice,102
738-Justice,103
739-Justice,104
740-Justice,105
741-Justice,106
742-Justice,107
743-Justice,108
628-Morale,0
700-Morale,1
643-Morale,2
687-Morale,3
701-Morale,4
696-Morale,5
731-Morale,6
742-Morale,7
642-Morale,8
652-Morale,9
655-Morale,10
667-Morale,11
670-Morale,12
671-Morale,13
679-Morale,14
681-Morale,15
682-Morale,16
683-Morale,17
686-Morale,18
688-Morale,19
690-Morale,20
693-Morale,21
694-Morale,22
697-Morale,23
707-Morale,24
712-Morale,25
729-Morale,26
732-Morale,27
733-Morale,28
737-Morale,29
738-Morale,30
627-Morale,31
629-Morale,32
630-Morale,33
631-Morale,34
633-Morale,35
634-Morale,36
635-Morale,37
636-Morale,38
637-Morale,39
639-Morale,40
640-Morale,41
641-Morale,42
644-Morale,43
645-Morale,44
646-Morale,45
648-Morale,46
649-Morale,47
650-Morale,48
651-Morale,49
653-Morale,50
654-Morale,51
657-Morale,52
658-Morale,53
659-Morale,54
660-Morale,55
661-Morale,56
662-Morale,57
663-Morale,58
664-Morale,59
665-Morale,60
666-Morale,61
668-Morale,62
669-Morale,63
672-Morale,64
673-Morale,65
674-Morale,66
675-Morale,67
677-Morale,68
678-Morale,69
680-Morale,70
684-Morale,71
685-Morale,72
689-Morale,73
691-Morale,74
692-Morale,75
698-Morale,76
699-Morale,77
703-Morale,78
704-Morale,79
705-Morale,80
706-Morale,81
708-Morale,82
709-Morale,83
710-Morale,84
711-Morale,85
713-Morale,86
714-Morale,87
715-Morale,88
716-Morale,89
717-Morale,90
718-Morale,91
719-Morale,92
720-Morale,93
721-Morale,94
722-Morale,95
724-Morale,96
725-Morale,97
726-Morale,98
727-Morale,99
728-Morale,100
730-Morale,101
735-Morale,102
736-Morale,103
739-Morale,104
740-Morale,105
741-Morale,106
743-Morale,107
744-Morale,108
